Main
Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Company,Stock
11/17/2017,171.04,171.39,169.64,170.15,21665811,0,1,171.04,171.39,169.64,170.15,21665811,Apple,AAPL
11/16/2017,171.18,171.87,170.3,171.1,23497326,0,1,171.18,171.87,170.3,171.1,23497326,Apple,AAPL
11/15/2017,169.97,170.3197,168.38,169.08,28702351,0,1,169.97,170.3197,168.38,169.08,28702351,Apple,AAPL
11/14/2017,173.04,173.48,171.18,171.34,23588451,0,1,173.04,173.48,171.18,171.34,23588451,Apple,AAPL
11/13/2017,173.5,174.5,173.4,173.97,16828025,0,1,173.5,174.5,173.4,173.97,16828025,Apple,AAPL
11/10/2017,175.11,175.38,174.27,174.67,25061183,0,1,175.11,175.38,174.27,174.67,25061183,Apple,AAPL
11/9/2017,175.11,176.095,173.14,175.88,28636531,0,1,175.11,176.095,173.14,175.88,28636531,Apple,AAPL
11/7/2017,173.91,175.25,173.6,174.81,23910914,0,1,173.91,175.25,173.6,174.81,23910914,Apple,AAPL
11/6/2017,172.365,174.99,171.72,174.25,34242566,0,1,172.365,174.99,171.72,174.25,34242566,Apple,AAPL
11/3/2017,174,174.26,171.12,172.5,58683826,0,1,174,174.26,171.12,172.5,58683826,Apple,AAPL
11/2/2017,167.64,168.5,165.28,168.11,32710040,0,1,167.64,168.5,165.28,168.11,32710040,Apple,AAPL
11/1/2017,169.87,169.94,165.61,166.89,33100847,0,1,169.87,169.94,165.61,166.89,33100847,Apple,AAPL
10/31/2017,167.9,169.6499,166.94,169.04,35474672,0,1,167.9,169.6499,166.94,169.04,35474672,Apple,AAPL
10/30/2017,163.89,168.07,163.72,166.72,43923292,0,1,163.89,168.07,163.72,166.72,43923292,Apple,AAPL
10/27/2017,159.29,163.6,158.7,163.05,43904150,0,1,159.29,163.6,158.7,163.05,43904150,Apple,AAPL
10/26/2017,157.23,157.8295,156.78,157.41,16751691,0,1,157.23,157.8295,156.78,157.41,16751691,Apple,AAPL
10/25/2017,156.91,157.55,155.27,156.405,20126554,0,1,156.91,157.55,155.27,156.405,20126554,Apple,AAPL
10/24/2017,156.29,157.42,156.2,157.1,17137731,0,1,156.29,157.42,156.2,157.1,17137731,Apple,AAPL
10/23/2017,156.89,157.69,155.5,156.17,21654461,0,1,156.89,157.69,155.5,156.17,21654461,Apple,AAPL
10/20/2017,156.61,157.75,155.96,156.16,23612246,0,1,156.61,157.75,155.96,156.16,23612246,Apple,AAPL
10/19/2017,156.75,157.08,155.02,155.98,42111326,0,1,156.75,157.08,155.02,155.98,42111326,Apple,AAPL
10/18/2017,160.42,160.71,159.6,159.76,16158659,0,1,160.42,160.71,159.6,159.76,16158659,Apple,AAPL
10/17/2017,159.78,160.87,159.23,160.47,18816438,0,1,159.78,160.87,159.23,160.47,18816438,Apple,AAPL
10/16/2017,157.9,160,157.65,159.88,23894630,0,1,157.9,160,157.65,159.88,23894630,Apple,AAPL
10/13/2017,156.73,157.28,156.41,156.99,16287608,0,1,156.73,157.28,156.41,156.99,16287608,Apple,AAPL
10/12/2017,156.35,157.37,155.7299,156,16045720,0,1,156.35,157.37,155.7299,156,16045720,Apple,AAPL
10/11/2017,155.97,156.98,155.75,156.55,16607693,0,1,155.97,156.98,155.75,156.55,16607693,Apple,AAPL
10/10/2017,156.055,158,155.1,155.9,15456331,0,1,156.055,158,155.1,155.9,15456331,Apple,AAPL
10/9/2017,155.81,156.73,155.485,155.84,16200129,0,1,155.81,156.73,155.485,155.84,16200129,Apple,AAPL
10/6/2017,154.97,155.49,154.56,155.3,16423749,0,1,154.97,155.49,154.56,155.3,16423749,Apple,AAPL
10/5/2017,154.18,155.44,154.05,155.39,21032800,0,1,154.18,155.44,154.05,155.39,21032800,Apple,AAPL
10/4/2017,153.63,153.86,152.46,153.4508,19844177,0,1,153.63,153.86,152.46,153.4508,19844177,Apple,AAPL
10/3/2017,154.01,155.09,153.91,154.48,16146388,0,1,154.01,155.09,153.91,154.48,16146388,Apple,AAPL
